Composite_Element_REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate
cg08612037	0.0296179016120065	BTBD11	12	107712210
cg08612601	0.00597627966257543	ZBTB12	6	31869982
cg08612871	NA	GJB5	1	35220334
cg08613513	0.0107759688018861	ORC1L;PRPF38A	1	52870060
cg08614201	0.948979261404661	CD160	1	145715134
cg08614481	0.0261435316356103	HTR1B	6	78173250
cg08614528	NA	CRELD1	3	9976017
cg08615333	0.387293271311847	TGFB3	14	76447413
cg08617916	0.00538798346482113	RASSF5	1	206730453
cg08618113	0.0320359776850743	CHP;EXD1	15	41523882
cg08620270	0.00882844125650563	NUP153	6	17706868
cg08620470	NA	SLC25A16	10	70288376
cg08623383	0.489838888278392	C1orf38	1	28205926
cg08623787	0.0670520507841734	RXRG	1	165414611
cg08623947	0.0251035661122339	HCK	20	30640164
cg08624068	NA	STARD6	18	51881278
cg08624249	0.815639690757903	C20orf117	20	35424845
cg08625022	0.0256156855006596	C9orf95;OSTF1	9	77702606
cg08625335	0.00670373929984104	RPS29	14	50053225
cg08626653	0.837507654957496	C7orf51	7	100082322
cg08626943	0.00848200552457303	IPO7	11	9406309
cg08629913	0.0316227802201445	IGFBP6	12	53491633
cg08631151	0.0148544537763285	RPRML	17	45056976
cg08631437	0.276688691769824	NA	NA	0
cg08632701	0.94146257962872		21	37451849
cg08633154	0.0194275727637221	PCGF5	10	92980627
cg08634024	0.379510227326696	NA	NA	0
cg08634464	0.332182468945283	ZNF57	19	2901147
cg08634539	NA	DHRS7	14	60631988
cg08635242	0.019775245079343	CPD	17	28706081
cg08635249	0.0130597256242877	RBM28	7	127983877
cg08636224	0.942614457488368	FKBP5	6	35657921
cg08637669	0.798888395100194	NA	NA	0
cg08638395	0.0107848781643728	XPR1	1	180601032
cg08640498	0.150566245332345	INHBC	12	57828515
cg08642068	NA	SPAG4L	20	31591776
cg08643928	0.023304499596119	RALGPS2	1	178694481
cg08646988	0.0296493236156361	GFPT1	2	69614274
cg08647446	0.0606941859759025	RASSF6	4	74486298
cg08647727	0.0235062331168376	C12orf72	12	31812705
cg08649013	NA	SLC2A9	4	10042198
cg08651674	0.00741162437653236	RREB1	6	7108441
cg08652404	0.0361187892901751	ZNF394	7	99098009
cg08653874	0.070158652965981	SFRS5;LOC100289511	14	70233918
cg08654334	0.361321515120126	NA	NA	0
cg08654655	0.217286604100319	CADM3	1	159141063
cg08655844	0.0311563335427859	VOPP1	7	55640714
cg08656294	0.0139852795939592	NA	NA	0
cg08657449	0.387964801168906	TM7SF4	8	105351661
cg08658594	0.85323921120548	TAS2R13;PRR4;PRH1	12	11062035
cg08659539	0.917835187956361	ZFYVE19;DNAJC17	15	41098188
cg08659707	NA	PUM2	2	20527677
cg08660285	0.0332015555542235	MIER1;WDR78	1	67390436
cg08661003	NA	DDRGK1	20	3185863
cg08661227	0.00926040791117174	TAGLN2	1	159895006
cg08661290	0.0372071542387665	PHF13	1	6674110
cg08662074	0.0374381281001696	PAPPA	9	118915867
cg08663969	0.909332567472684	ABCG1	21	43620345
cg08665772	0.437132169128297	KCNJ9	1	160051377
cg08666623	0.0432786319400548	NA	NA	0
cg08667721	0.13340304309465	RAB11B	19	8455690
cg08668790	0.828416378693076	ZNF154	19	58220662
cg08670517	0.0350638967348597	UBQLN1	9	86323640
cg08670691	0.826335251046533	CCDC27	1	3668942
cg08673615	0.0125300953668611	HMGCL	1	24151775
cg08674093	0.0359480039324236	DCUN1D1	3	182697846
cg08675585	0.64748394415206	C14orf166B	14	77292733
cg08675664	0.0220478943480751	ALDH7A1	5	125930870
cg08678755	NA	ENPP3	6	131957011
cg08679985	0.634814174555241	KLF17	1	44584350
cg08680085	0.29560720075601	MST4	X	131157316
cg08680102	0.0117654196197416	GRPEL2	5	148725324
cg08680731	0.0280616856941923	VPS41	7	38948782
cg08682341	0.12798169394749	INPP5A	10	134351765
cg08684473	0.714606866902417	LILRB5	19	54761090
cg08687163	0.956428932726771	MST1R	3	49940853
cg08687825	0.0426970124510576	PRSS35	6	84221752
cg08687901	0.0171992124434111	HIST1H4E	6	26204924
cg08687958	0.00745137419752903	PDZD8	10	119135722
cg08690031	0.0762079225825402	CDCA7	2	174219209
cg08690721	0.0221379315330693	C11orf17;ST5	11	8932380
cg08693206	0.014196334678168	AP1B1	22	29784697
cg08693325	0.683161418925278	LUZP4	X	114523818
cg08694544	0.0108951329580286	RTBDN	19	12946228
cg08695223	0.647478821177627	SLC9A6	X	135067793
cg08695830	0.0203328248445164	CLIP2	7	73703459
cg08696192	0.926244403644957	TNS4	17	38657310
cg08696890	0.0151230649961647	CPNE2	16	57126212
cg08697242	NA		1	150221793
cg08697285	0.0142590775273631	MYCBP2	13	77901013
cg08697665	0.341855435295621	RARRES1	3	158450590
cg08699435	NA	NAA20	20	19997606
cg08700306	0.127224634886603	LRP3	19	33686390
cg08700651	0.0660169739694031	IL28RA	1	24513482
cg08701609	0.0116450498907246	DONSON	21	34961305
cg08703595	0.0571159947424159	HERPUD2	7	35734160
cg08703971	0.032864952881589	SGPP1	14	64194118
cg08704509	0.0601747405286676	GRAMD3	5	125758809
cg08704606	0.625387978660181	NA	NA	0
cg08704884	0.0248718846360827	UBE2M;LOC100131691	19	59070524
cg08705994	0.979527066094729	NA	NA	0
cg08706258	0.016096096597181	WSB1	17	25621230
cg08707063	0.0278485569212509	FUBP1	1	78444964
cg08707078	0.0328857314745391	C7orf46	7	23720292
cg08707819	NA	RCOR1	14	103059391
cg08708323	0.071531925097479	HN1L	16	1728724
cg08709276	0.695692645933608	APOBEC2	6	41020450
cg08709385	0.980757522561895	POM121L1P	22	22986667
cg08711674	0.220413324526737	AKT1S1;TBC1D17	19	50381878
cg08711724	0.0276689752146182	NOC3L	10	96122379
cg08713365	0.0465567918464217	NRSN2	20	327623
cg08715135	0.00637326646490269	TRIB1	8	126442747
cg08715837	0.0153422154055998	TUBA8	22	18593609
cg08717396	0.0225561139347399	HIST1H2BJ;HIST1H2AG	6	27100775
cg08718071	0.0177860257593591	HDDC3;UNC45A	15	91475586
cg08719081	0.97375005464125	ALX3	1	110613933
cg08719486	0.278875757173895	DAPK1	9	90112101
cg08721347	0.023037611549203	ALG14	1	95538652
cg08722104	0.0179339329748854	PSMC3	11	47448306
cg08722122	NA	FGFR1	8	38326574
cg08722720	0.0163853269098193	AVEN;CHRM5	15	34331557
cg08723608	NA	C7orf51	7	100080506
cg08724474	0.0188606283949105	SLC36A1	5	150827012
cg08724517	0.100719836183501	MAP9	4	156298204
cg08724563	0.0138013898846608	RAX	18	56940755
cg08724636	0.0142986941551049	RALA	7	39663756
cg08725962	0.00746984999324095	ARL10	5	175792493
cg08727202	0.211065890060558	MPST;TST	22	37414747
cg08728865	0.952200391935528	NLRP7	19	55458943
cg08729012	0.0367550797317248	CMTM6	3	32543628
cg08731300	0.011772563924119	NA	NA	0
cg08733315	0.00578467731521072	BMF	15	40401063
cg08733774	0.0452639138856449	RANBP2	2	109335627
cg08735298	NA	C1orf122;YRDC	1	38273312
cg08736146	NA	LRRC46;MRPL10	17	45908635
cg08737421	0.0128147020268954	MAX	14	65569903
cg08738040	0.00917878355186979	CNPY3	6	42896906
cg08738269	0.0123927521526213	ZFPM1	16	88519222
cg08739282	NA	DHX15	4	24586511
cg08742106	0.976438510362133	USP6	17	5031982
cg08743392	0.0180026694926883	GSS	20	33543028
cg08744726	0.337936490843979	ZNF767	7	149323101
cg08744769	0.0233184315499558	MXD1	2	70142523
cg08747377	0.0283033506782526	CDH13	16	82660670
cg08747889	0.0165816289692958	PTK7	6	43043786
cg08748415	0.0534512791311894	CLIC5	6	45983741
cg08749122	0.0122692317781776	TARS2	1	150459996
cg08749917	0.51103290980658	RTP1	3	186915320
cg08750326	0.167716608453163	ODZ1	X	124098009
cg08752459	0.171763261914641	CLEC2B	12	10022682
cg08753553	0.938869867713707	NA	NA	0
cg08755040	0.0234726660284526	QSOX1	1	180124539
cg08757531	0.00779193610978883	FAM103A1	15	83654895
cg08758850	NA	NR6A1	9	127533554
cg08759036	NA	OCRL	X	128674134
cg08759274	0.0252120022735642	ACO2;PHF5A	22	41864680
cg08761447	0.0479904960331901	PARP11	12	3982140
cg08762247	0.108169053656617	TMEM100	17	53800372
cg08763351	0.356107833265829	SPRR4	1	152943210
cg08763433	0.0072817574875151	TMEM79;SMG5	1	156252438
cg08764758	0.0186724165041079	SLFN11	17	33700230
cg08766149	0.536290023313488	GZMB	14	25103301
cg08766742	0.0143144210056101	SLC25A19	17	73285837
cg08768421	0.00973100190856668	GDA	9	74764504
cg08769044	0.979618160511655	SSX3	X	48216108
cg08770869	0.00827943623377326	CDC25B	20	3776303
cg08771429	0.03155070096418	KRIT1;ANKIB1	7	91876374
cg08771731	0.0234932114492621	LOC285696;BASP1	5	17216434
cg08772206	0.471438275608849	SH2D4B	10	82297793
cg08773844	0.0134465976367328	CCDC25	8	27630019
cg08775230	0.172571103370422	C11orf52	11	111789493
cg08775774	0.0233170412039341	CCDC62	12	123258897
cg08775793	NA	APOL1	22	36648692
cg08778586	0.0217808208353779	SNRNP40;ZCCHC17	1	31769778
cg08779777	0.726427836813257	PIK3CG	7	106505772
cg08780378	0.0160294916654399	NA	NA	0
cg08781448	0.0170709325175949	GALNS;TRAPPC2L	16	88923231
cg08782122	NA		7	153110994
cg08783491	0.015586281121684	STX16	20	57226061
cg08784110	0.739210874191874	MAS1	6	160328002
cg08785133	0.297560607104733	PORCN	X	48367193
cg08785155	0.00974914257753069	ATP1B1	1	169076388
cg08785215	0.0246703911990044	FLNB	3	57993979
cg08785534	0.0508388515353807	GAL	11	68451827
cg08785922	0.0197291963295213	NXN	17	882831
cg08786003	0.488786270425965	FCRL3	1	157670710
cg08788717	0.0149721530618361	STK33	11	8615506
cg08789630	0.926929047435733	MYST4	10	76599281
cg08789908	0.0288076333273261	HSD11B2	16	67464707
cg08790491	0.0389348122020434	FLJ31306;ARID4A	14	58765325
cg08790550	0.983236310718271	TUBA3E	2	130955686
cg08792314	0.026403635137219	COASY	17	40714406
cg08793459	0.012134309335495	PTRH2;TMEM49	17	57784647
cg08794192	0.0118663527101806	SPATA2	20	48532354
cg08794763	NA	TLE6	19	2977843
cg08797106	0.0908683478933755	HIST1H3A;HIST1H4A	6	26021008
cg08797194	0.0495552844268918	UGGT2	13	96705123
cg08797471	0.030087521351064	DAPK1	9	90113120
cg08798116	0.349085938405065	GPC4	X	132548882
cg08798523	0.00739028655583687	MTMR6	13	25861533
cg08799191	0.130790133974678	C17orf101;HEXDC	17	80376884
cg08800033	0.206214850979635	NSDHL;CETN2	X	151999825
cg08801329	0.0145020077144583	NAA20	20	19998053
cg08801754	0.78910181915024	NA	NA	0
cg08802167	0.00689616621945667	NPC2;ISCA2	14	74959978
cg08803129	0.00881845398185153	SLC39A6;ELP2	18	33708920
cg08803144	0.0388745267737229	ATIC	2	216176550
cg08804892	0.175053907102785	TRAK1	3	42201374
cg08805338	0.00856577055823836	PPP3CB	10	75255936
cg08806153	0.0133787673059468	HOXD11	2	176971961
cg08807541	0.141156053511308	MAGOHB	12	10766485
cg08810065	0.0109788680015282	G2E3	14	31028151
cg08810582	0.0885847802891933	SLC35E3	12	69139650
cg08810779	0.0278331265310444	DHX16	6	30640919
cg08811349	0.0116892400785141	ZHX1	8	124286482
cg08812504	0.0128939685654111	QSOX1	1	180123798
cg08812936	0.365707847979034	KCNMB2	3	178254213
cg08813236	0.0111674011646539	CRIPT;PIGF	2	46844324
cg08815403	0.72945474061472	HSD17B13	4	88244142
cg08815652	0.026571928641925	UACA	15	71055727
cg08816023	0.870442796714626	FGF1	5	142065539
cg08816248	0.013722523456404	SYNJ2BP	14	70883859
cg08817120	0.00963448531339526	LIMCH1	4	41363320
cg08817171	0.00832941122052912	KIF23	15	69706672
cg08818385	NA	FAHD2A	2	96067685
cg08818784	0.0197703258041283	NA	NA	0
cg08818984	0.544515475910363	NR3C1	5	142814827
cg08819884	0.0282296634279385	TRNT1	3	3168225
cg08820801	0.108433715732194	FBXO17	19	39465821
cg08820821	NA	SNRNP70	19	49588236
cg08821669	0.0312401200212244	COX6A1	12	120875978
cg08822227	0.0200381682231021	SH3BP2	4	2820468
cg08823182	0.247814476277608	S100A5	1	153514482
cg08825571	0.0102114530032559	SHARPIN;MAF1	8	145159373
cg08826839	0.572376018555258	FAP	2	163100125
cg08826863	0.0201419049826417	VEGFA	6	43738006
cg08827391	0.0113180184286003	GDI2	10	5855992
cg08828036	0.806728097988552	ATP10A	15	26109204
cg08831348	0.0434391774977763	EML2	19	46142212
cg08831522	NA	ATP10A	15	26026414
cg08831594	0.0337809426631814	TSPAN15	10	71211006
cg08831701	0.00900949337075416	HELZ	17	65241304
cg08831744	0.026551242109992	IGFBP3	7	45961346
cg08832227	0.836595249671699	KCNA1	12	5020693
cg08833432	0.0775378673510679	PSMA7;SS18L1	20	60719824
cg08834018	NA	PRODH	22	18924883
cg08835688	0.715122882943908	GRB10	7	50849931
cg08836024	0.735752928485714	RARS2;ORC3L	6	88300917
cg08837884	NA	LRG1	19	4540782
cg08839620	0.0133792380325945	POLD3	11	74303786
cg08840010	0.604401174576809	TNFRSF9	1	8000314
cg08843314	0.918306811826765	BCYRN1;CXCR3	X	70837990
cg08843492	0.0231215773153048	IFITM2	11	308231
cg08846002	0.216745784253987	ZNF75D	X	134477026
cg08847038	0.0733765433862575	THNSL1;ENKUR	10	25305217
cg08847533	0.016905828211441	NEK9	14	75593920
cg08847636	NA	ZNF442	19	12476027
cg08849126	0.0130546247091111	GPRC5A	12	13044370
cg08849574	0.031750723649867	ZNF134	19	58125953
cg08851943	0.0191416914963664	C6orf64	6	39082812
cg08853659	0.014337679388911	CLSTN2	3	139654245
cg08858521	NA	WFIKKN1	16	681022
cg08859675	0.651618416577337	NA	NA	0
cg08859916	0.0263598163425075	PTEN;KILLIN	10	89624102
cg08860143	0.704006244877087	MYLPF	16	30385767
cg08860710	0.0409430143835684	NA	NA	0
cg08861115	0.975073103077557	IL1F9	2	113735377
cg08865050	0.0179418058337677	NA	NA	0
cg08866753	0.00932833670204352	PABPC4	1	40042061
cg08871016	0.0183843154335174	HSF2BP;RRP1B	21	45079232
cg08871189	0.0180532419786728	COMMD9	11	36311119
cg08871917	NA	GATAD1	7	92076509
cg08872483	0.0397158029607323	FAM120AOS;FAM120A	9	96213189
cg08872493	0.49204990771334	HTR1D	1	23521417
cg08872550	0.0441310875370971	CA2	8	86375450
cg08872742	0.0534667937907082	CDH5	16	66400320
cg08875535	0.0105809855797384	MAP4K4	2	102314477
cg08876470	0.0520276313702555	GCDH	19	13002357
cg08876591	0.0179606082284047	ADAM22	7	87563855
cg08876665	0.00970084700149092	PTGR1	9	114361338
cg08876932	0.337868082692124	PHOX2A	11	71955547
cg08878304	0.0146548131171935	FBXO7	22	32870551
cg08878323	0.209106156888319	DLX5	7	96652464
cg08878352	0.0453831883420659	PPP1R11	6	30035220
cg08878744	NA	LCE1B	1	152783674
cg08880153	0.844797658620567	MAP1A	15	43808806
cg08881067	0.0456066045181757	NSA2;GFM2	5	74062846
cg08881519	0.0425661777645187	NA	NA	0
cg08884343	0.929453908328441	FOXP3	X	49122423
cg08886154	0.4499921771811	PAX4	7	127256676
cg08887137	0.0133045279902956	DCTN6	8	30013701
cg08887581	0.913868475464887	NA	NA	0
cg08888956	0.607820358994399	NTS	12	86267839
cg08890043	0.0213213227997918	CHKB-CPT1B;LOC100144603;CHKB	22	51021165
cg08891270	0.00894729677745079	NA	NA	0
cg08893585	0.0160231270962456	BARX2	11	129245309
cg08894534	0.0142943301932129	GEN1;SMC6	2	17934487
cg08896053	0.0300339220483152	SNTG1	8	50823468
cg08896629	0.03726980990707	TYK2	19	10491577
cg08896945	0.0459286115108485	CALCB	11	15095068
cg08897388	0.023445024897544	LAMA4	6	112575705
cg08899626	0.134384226587866	LDB2	4	16900199
cg08899632	NA	ZFP64	20	50809000
cg08900043	0.00868731850514201	HOXC10	12	54378896
cg08901867	NA	TTLL6	17	46871042
cg08902132	0.0187579924155849	ETF1	5	137879323
cg08902818	0.248189175863993	XK	X	37544805
cg08905118	0.157679155376274	RP2	X	46696426
cg08906015	0.691789825378563	DACT3	19	47157825
cg08907850	0.0181698827673687	IDI1	10	1094976
cg08908355	0.0243881648033584	HIST2H2BE;HIST2H2AC	1	149857186
cg08909157	0.236692774210732	DOCK8;C9orf66	9	215561
cg08911391	0.0482712533210477	DDOST	1	20988590
cg08912400	0.0265963945689989	CHRNA4	20	61993427
cg08914623	0.0149694212788517	ALX4	11	44327572
cg08914916	0.00546463390004956	MRPS12;SARS2	19	39421419
cg08917718	0.0200259048527965	PCBP4	3	52002169
cg08918431	0.00771965470749401	ANKHD1;ANKHD1-EIF4EBP3	5	139781174
cg08918749	0.0244568543427066	LPL	8	19797445
cg08920071	0.86582782415638	CD101	1	117544781
cg08923060	0.0110018791314438	TRIAP1;GATC	12	120884702
cg08923109	0.904936421523008	PAN3	13	28748744
cg08923379	0.0073569247937628	ODF2	9	131218452
cg08923450	0.0282873483281871	HEY2	6	126070151
cg08924430	0.721535713350548	TET2	4	106067052
cg08927489	0.0172977489463752	ZNF687	1	151254500
cg08927738	0.297009355245432	BCAS1	20	52687394
cg08928646	0.133845945135158	UBA6;LOC550112	4	68567174
cg08929103	0.764211641494184	CRHR1	17	43860355
cg08932320	0.0278193812101776	GMDS	6	2246077
cg08933517	0.747755895123417	TDRD9	14	104436057
cg08934427	0.945889746809409	SLC22A14	3	38347441
cg08934443	0.0985818790565498	HIST2H2AB	1	149859898
cg08935003	NA	MS4A6E	11	60101561
cg08935243	0.0264603189417025	CETN3	5	89705635
cg08935301	0.0479392839696248	LMCD1	3	8543732
cg08936952	0.954457228064331	HEATR4	14	74026160
cg08942800	0.921658817082601	CRISP2	6	49681310
cg08942875	0.0139259943476991	OCIAD2	4	48908902
cg08946117	0.431059171856001	C2orf27B	2	132560175
cg08946332	0.914062050093488	ALOX12	17	6899888
cg08946989	0.00660466880241286	TBC1D7	6	13328449
cg08947964	0.32041414351634	GJA10	6	90603803
cg08948050	0.951938012835172	APBB3;SLC35A4	5	139943173
cg08949296	0.0297165381604473	JPH1	8	75233153
cg08950375	0.874688696531082	COL6A3	2	238323400
cg08952029	0.396987392554318	CHRDL2	11	74442900
cg08954856	0.0305998326907266	BIK	22	43506306
cg08955609	0.0129556091087485	APOE	19	45409353
cg08956138	0.286266769242545	CD3E	11	118175384
cg08958015	0.022675303931444	CCDC65	12	49297901
cg08958913	NA	LGALS14	19	40193890
cg08959992	0.0109969785825768	PCBP2	12	53846247
cg08961832	0.0385624972993101	NLRP6	11	279185
cg08965143	NA	TP53I3	2	24308246
cg08965235	0.0291232201303274	LTBP3	11	65325158
cg08965324	0.159865646345399	NA	NA	0
cg08965337	0.236403639749527	RAP2C	X	131352534
cg08965527	0.0483870574883512	HSDL1;LRRC50	16	84178213
cg08966023	0.0208762936220312	PPP1R3D;C20orf177	20	58515345
cg08966293	0.0205514728202682	MAPK3	16	30134858
cg08970446	0.986857625446761	SLC1A7	1	53608262
cg08970694	0.126983578502768	HBE1	11	5290746
cg08972170	0.659546481549045	C7orf41	7	30185776
cg08974656	0.0064252727973874	CIAO1;TMEM127	2	96931567
cg08977028	0.930642615786809	NA	NA	0
cg08977371	0.203826642634944	CDH13	16	82660490
cg08980578	0.0620901173892185	KCNK6	19	38811036
cg08981777	0.166852453337759	ELSPBP1	19	48497737
cg08983259	0.942749556756226	INSL5	1	67267855
cg08983760	NA	EDNRB	13	78549582
cg08983975	0.0113859034383462	TCOF1	5	149737654
cg08986416	0.0228243807270273	DMXL2	15	51914746
cg08987989	0.341375880392433	PGGT1B	5	114598846
cg08990057	0.0169186138553456	PLS3	X	114795604
cg08992050	0.012693821846551	IRAK4;PUS7L	12	44152940
cg08993172	0.109392509870922	ALX4	11	44327267
cg08993267	0.04749172328145	BRCA1;NBR2	17	41277322
cg08993557	0.484665707663301	NA	NA	0
cg08995424	0.0132813696956326	ATP5G2	12	54070891
cg08996413	0.734483107990111	NA	NA	0
cg08996502	0.0248947299610915	SCRIB	8	144897297
cg08996521	0.0218437694441915	CISH	3	50649994
cg08996748	0.018515750837796	DISP2	15	40651036
cg08996986	0.932417981810793		19	55583563
cg08997253	0.0526360441190119	GRIN3A	9	104500729
cg08998501	0.0489294344968182	ZNF615	19	52511778
cg08998967	0.0154198324766208	SLC25A13	7	95951569
cg08999352	0.0342124760846974	NA	NA	0
cg08999486	0.0131712399991761	CDC42BPB	14	103523305
cg08999895	0.118826875186922	SLC22A18;SLC22A18AS	11	2925869
cg09000112	0.0177551404416486	EFNA5	5	107007565
cg09000510	0.0294884611253317	TESK1	9	35605352
cg09001777	0.281396454770847	FUT3	19	5851504
cg09001953	0.082244652918976	UFSP2	4	186347682
cg09002165	0.00863688991928502	SLC25A29;MIR345	14	100772949
cg09002774	0.0148727383364597	SLC35B1	17	47785225
cg09003876	0.0113398215257443	C18orf21	18	33552519
cg09006267	0.0106025234928875	NA	NA	0
cg09008187	0.0166286337009248	SLC25A35	17	8198627
cg09009042	0.0227457802452406	PPP1R8	1	28157061
cg09009111	0.0140894400587841	EMILIN2	18	2847309
cg09009259	0.0161891794078369	MUM1	19	1354522
cg09009380	0.654434827240922	PKP1	1	201252974
cg09010998	0.0226915279179803	ZEB1;LOC220930	10	31608207
cg09011597	0.0234322630304554	PA2G4	12	56497759
cg09013626	0.0152362954634149	RYBP	3	72495672
cg09014354	0.112376065397372	NEUROD4	12	55413878
cg09015232	0.233686772156978	SLC12A5	20	44657115
cg09017174	0.0770610618848974	SLC1A2	11	35440525
cg09018040	0.939819573679405	VCX	X	7810253
cg09018810	0.363121796684493	IDS	X	148586931
cg09018824	0.583986541197562	LIMCH1	4	41361919
cg09018862	0.94058572463653	MEGF8	19	42882644
cg09019938	0.0106507561961309	PRKG1	10	52834498
cg09020461	0.00754574291358695	TP53BP1	15	43802885
cg09022808	0.309908479715572	GAL3ST1	22	30960857
cg09022993	0.108141392759916	SPATA18	4	52917875
cg09025324	0.38404053990297	DSE	6	116691685
cg09027725	0.776579452889723	COX4I2	20	30226046
cg09030119	0.366898975260156	ZNF285A	19	44905343
cg09033997	0.919364861584351	CCR9	3	45927601
cg09034836	0.968804891474257	POM121L1P	22	22986350
cg09034896	0.933625460739944	GRK1	13	114321466
cg09037813	0.872969691721159	LRRFIP1	2	238599761
cg09037858	0.0277125226759694	NA	NA	0
cg09038676	0.0282561515602167	GSTP1	11	67351608
cg09038885	0.0195070591798026	ADRA1B	5	159343148
cg09038914	0.926385971231598	GFAP	17	42992567
cg09039163	0.478270231698614	ESPNL	2	239009036
cg09039698	0.00955911540926471	HIRIP3;INO80E	16	30007384
cg09040752	0.464951443680972	AOC3	17	41003155
cg09044738	0.945436251903546	FAM12A	14	21214682
cg09044743	0.0340124632753662	PANK4	1	2458238
cg09045681	0.0359593292145948	TCF19;CCHCR1	6	31127178
cg09047884	0.0889094767086965	TTLL1	22	43484984
cg09049660	0.023185237874743	PANK2	20	3869033
cg09052983	0.0165967928804073	RAB27B	18	52495605
cg09053680	0.0116632396567897	UTF1	10	135044114
cg09054876	0.0428537312222791	PECI	6	4136564
cg09056317	0.101347618944445	TBCB;POLR2I	19	36607008
cg09057265	0.00958561574535696	FBXO3	11	33795924
cg09058381	0.0492136169064748	EAF1;METTL6	3	15468845
cg09058542	0.829466319496972	TSHB	1	115572863
cg09059181	0.00926261600375524	NOLC1	10	103912236
cg09059548	0.0353614854865877	PHC1	12	9066665
cg09059635	0.903281608640248	NTNG2	9	135042197
cg09059945	0.121928667812493	MEST	7	130126018
cg09060849	0.0516505491596258	GGA2	16	23521224
cg09060914	0.716470202951261	SELP	1	169599558
cg09061733	0.31147917872747	SERPING1	11	57364841
cg09065135	0.0123609273997647	OTUD7B	1	149982836
cg09065199	0.0666746172728429	ASXL1	20	30947141
cg09067967	0.0645280499744198	UGDH	4	39529342
cg09068198	0.0254996782121944	RAB1A	2	65357064
cg09068492	0.0264233511779021	CALCA	11	14993658
cg09068528	0.0676623663047694	ACADL	2	211090171
cg09068993	0.055212113310033	C10orf4	10	95462173
cg09069593	NA	GPR114	16	57576285
cg09070492	NA	COX15;CUTC	10	101492601
cg09072120	0.0108758249551661	PRTFDC1	10	25242031
cg09076012	NA	NOV	8	120428898
cg09076077	0.788161801954068	C20orf197	20	58630315
cg09076123	0.758767736689163	NCF2	1	183559527
cg09076584	0.913077456205673	FLJ25006	17	26941253
cg09079275	0.0182062742171915	ADAM19	5	157003083
cg09079593	0.0207346668540539	TRIM7	5	180632555
cg09080746	0.0372920883969026	BBS9	7	33169470
cg09081544	0.928302954308366	MUC13	3	124652790
cg09082287	0.0603764911671397	DNAJC6	1	65730494
cg09082921	0.0573288339313407	C6orf126	6	35744226
cg09083627	0.0137359441493099	SLITRK5	13	88324597
cg09084200	0.0490329758797817	VPS26B;NCAPD3	11	134095863
cg09085198	0.0112217676415133	ANKRD29	18	21242345
cg09085639	0.025552805643657	MRPL12	17	79670810
cg09086179	0.12414351814109	HMGN5	X	80376748
cg09086761	0.0126053272869775	MTA2	11	62369541
cg09087901	0.4841778731555	PLG	6	161123803
cg09087966	0.0128882058753993	CCNG2	4	78079025
cg09088193	0.958696876381162	KRT39	17	39122765
cg09088508	0.0112632755407634	RHOF	12	122231455
cg09088576	0.827306939282108	CSF3R	1	36947785
cg09088577	0.952896478639411	OTUD4	4	146096074
cg09088834	0.0507922336365855	NINL	20	25565460
cg09089053	0.283905303718567	CNTD2	19	40731797
cg09092161	0.0220264971518747	AK1	9	130639739
cg09094355	NA	PRKX	X	3632358
cg09095562	0.317120536388512	GTF3C5	9	135905090
cg09096031	0.416215151961501	RFTN2	2	198540569
cg09096383	0.644881876481965	CSN1S1	4	70796842
cg09096950	0.301763908232893	UBE4A	11	118230095
cg09099022	NA	LRRC8B	1	90024622
cg09099177	0.891596508220571	CLN6;CALML4	15	68499367
cg09099744	0.796044731935904	NA	NA	0
cg09102409	0.112400532731563	NDRG1	8	134308734
cg09102714	0.089485286360302	AARS	16	70323758
cg09103232	0.0113221417299782	SLC2A4	17	7185001
cg09106817	0.203916712073828	MAP3K7IP2	6	149637881
cg09106999	0.0777297082620629	CDK2;SILV	12	56360065
cg09107232	0.0255231619115829	MYNN	3	169491072
cg09107315	0.819593971644407	GIPC2	1	78511488
cg09109450	0.034858157764597	C2orf43	2	21022565
cg09109996	0.133249718430522	VWA5A	11	123986094
cg09111484	0.632241995641973		12	80749651
cg09111917	0.836570256252865	TGM4	3	44915918
cg09112782	0.118638480453133	NA	NA	0
cg09113530	0.386756527536742	MALL	2	110873741
cg09113613	0.0162108050963969	RALGAPB	20	37101903
cg09114441	NA	ZNF546	19	40502678
cg09114799	0.0298169641778509	RAPGEF3	12	48152515
cg09118625	0.911435067790976	DIRAS3	1	68512971
cg09119665	0.00905450570588428	PNMA1	14	74181285
cg09119967	0.109081413221073	C20orf103	20	9494838
cg09120035	0.390846686977621	CYP11B1	8	143961145
cg09121849	0.0121051419366332	SLC7A1	13	30169249
cg09123444	0.0265834883718584	C19orf48	19	51307950
cg09126273	0.0188664249443124	PTPRO	12	15475767
cg09128050	0.00949527344502123	SAMHD1	20	35580168
cg09130402	0.013525896395453	TXNL1	18	54306120
cg09131135	0.0179679295611439	SLC4A1AP;SUPT7L	2	27886635
cg09133026	0.932632060960018	RPS6KL1	14	75388105
cg09134003	NA	NEUROG2	4	113436984
cg09134726	0.423311703018403	PRTN3	19	841082
cg09134747	0.244386033215444	ATP2C1	3	130612293
cg09137696	0.0276648598456139	MT1A	16	56672415
cg09138627	0.0239611298254294	GIGYF2	2	233562476
cg09142399	NA	CRYZ;TYW3	1	75200094
